IP:PORT, LOSS, DELAY
188.114.99.94:1010,100.00%,1000 ms
188.114.96.77:1010,100.00%,1000 ms
188.114.96.248:1010,100.00%,1000 ms
162.159.204.233:1074,100.00%,1000 ms
162.159.193.169:1010,100.00%,1000 ms
188.114.98.184:1074,100.00%,1000 ms
188.114.96.90:1074,100.00%,1000 ms
162.159.192.92:1074,100.00%,1000 ms
188.114.97.1:1074,100.00%,1000 ms
188.114.96.184:1074,100.00%,1000 ms
188.114.96.99:1010,100.00%,1000 ms
188.114.97.2:1074,100.00%,1000 ms
162.159.204.233:1010,100.00%,1000 ms
188.114.97.63:1010,100.00%,1000 ms
188.114.98.125:1010,100.00%,1000 ms
188.114.99.197:1074,100.00%,1000 ms
188.114.97.222:1074,100.00%,1000 ms
188.114.99.240:1010,100.00%,1000 ms
188.114.96.14:1010,100.00%,1000 ms
162.159.192.92:1010,100.00%,1000 ms
188.114.96.14:1074,100.00%,1000 ms
188.114.99.32:1010,100.00%,1000 ms
162.159.193.88:1010,100.00%,1000 ms
188.114.99.207:1010,100.00%,1000 ms
162.159.192.93:1074,100.00%,1000 ms
188.114.99.144:1074,100.00%,1000 ms
188.114.98.199:1074,100.00%,1000 ms
188.114.99.207:1074,100.00%,1000 ms
162.159.204.24:1074,100.00%,1000 ms
188.114.98.253:1074,100.00%,1000 ms
188.114.98.149:1010,100.00%,1000 ms
188.114.99.236:1010,100.00%,1000 ms
188.114.96.248:1074,100.00%,1000 ms
162.159.192.104:1074,100.00%,1000 ms
162.159.195.65:1074,100.00%,1000 ms
188.114.97.2:1010,100.00%,1000 ms
162.159.204.40:1074,100.00%,1000 ms
162.159.204.248:1010,100.00%,1000 ms
162.159.195.200:1010,100.00%,1000 ms
162.159.193.18:1074,100.00%,1000 ms
188.114.96.99:1074,100.00%,1000 ms
188.114.96.90:1010,100.00%,1000 ms
162.159.192.125:1010,100.00%,1000 ms
188.114.96.184:1010,100.00%,1000 ms
162.159.193.139:1010,100.00%,1000 ms
162.159.192.237:1074,100.00%,1000 ms
188.114.99.94:1074,100.00%,1000 ms
162.159.195.65:1010,100.00%,1000 ms
188.114.99.177:1010,100.00%,1000 ms
162.159.195.50:1010,100.00%,1000 ms
162.159.204.90:1010,100.00%,1000 ms
162.159.193.3:1010,100.00%,1000 ms
188.114.96.36:1010,100.00%,1000 ms
188.114.99.197:1010,100.00%,1000 ms
162.159.195.234:1074,100.00%,1000 ms
188.114.99.25:1074,100.00%,1000 ms
162.159.195.135:1010,100.00%,1000 ms
188.114.98.199:1010,100.00%,1000 ms
162.159.204.231:1074,100.00%,1000 ms
162.159.204.146:1074,100.00%,1000 ms
188.114.98.149:1074,100.00%,1000 ms
188.114.96.81:1010,100.00%,1000 ms
188.114.97.56:1010,100.00%,1000 ms
188.114.96.243:1010,100.00%,1000 ms
188.114.97.81:1074,100.00%,1000 ms
188.114.96.19:1074,100.00%,1000 ms
162.159.192.104:1010,100.00%,1000 ms
188.114.99.116:1074,100.00%,1000 ms
188.114.99.240:1074,100.00%,1000 ms
188.114.97.14:1010,100.00%,1000 ms
162.159.192.125:1074,100.00%,1000 ms
188.114.98.125:1074,100.00%,1000 ms
188.114.97.70:1010,100.00%,1000 ms
162.159.195.135:1074,100.00%,1000 ms
162.159.192.237:1010,100.00%,1000 ms
188.114.99.177:1074,100.00%,1000 ms
162.159.195.234:1010,100.00%,1000 ms
162.159.192.239:1074,100.00%,1000 ms
162.159.204.248:1074,100.00%,1000 ms
162.159.192.93:1010,100.00%,1000 ms
188.114.97.81:1010,100.00%,1000 ms
188.114.97.63:1074,100.00%,1000 ms
162.159.193.18:1010,100.00%,1000 ms
162.159.204.155:1074,100.00%,1000 ms
162.159.193.216:1074,100.00%,1000 ms
162.159.195.200:1074,100.00%,1000 ms
162.159.204.166:1010,100.00%,1000 ms
188.114.97.70:1074,100.00%,1000 ms
162.159.193.17:1074,100.00%,1000 ms
188.114.99.144:1010,100.00%,1000 ms
162.159.195.119:1074,100.00%,1000 ms
162.159.193.169:1074,100.00%,1000 ms
162.159.204.231:1010,100.00%,1000 ms
162.159.192.81:1010,100.00%,1000 ms
188.114.96.77:1074,100.00%,1000 ms
188.114.96.36:1074,100.00%,1000 ms
162.159.195.115:1010,100.00%,1000 ms
188.114.98.184:1010,100.00%,1000 ms
162.159.204.15:1074,100.00%,1000 ms
162.159.204.49:1010,100.00%,1000 ms
162.159.193.45:1010,100.00%,1000 ms
162.159.193.17:1010,100.00%,1000 ms
162.159.193.45:1074,100.00%,1000 ms
162.159.204.166:1074,100.00%,1000 ms
188.114.98.157:1074,100.00%,1000 ms
162.159.193.216:1010,100.00%,1000 ms
188.114.97.237:1074,100.00%,1000 ms
188.114.98.176:1010,100.00%,1000 ms
162.159.193.193:1074,100.00%,1000 ms
162.159.204.126:1074,100.00%,1000 ms
188.114.97.237:1010,100.00%,1000 ms
188.114.99.32:1074,100.00%,1000 ms
162.159.192.239:1010,100.00%,1000 ms
162.159.204.155:1010,100.00%,1000 ms
188.114.97.246:1010,100.00%,1000 ms
162.159.192.134:1074,100.00%,1000 ms
188.114.97.89:1074,100.00%,1000 ms
162.159.195.143:1010,100.00%,1000 ms
162.159.193.139:1074,100.00%,1000 ms
162.159.192.153:1010,100.00%,1000 ms
188.114.98.82:1074,100.00%,1000 ms
162.159.195.143:1074,100.00%,1000 ms
188.114.98.176:1074,100.00%,1000 ms
162.159.195.34:1074,100.00%,1000 ms
188.114.97.56:1074,100.00%,1000 ms
162.159.195.73:1010,100.00%,1000 ms
162.159.193.3:1074,100.00%,1000 ms
162.159.195.115:1074,100.00%,1000 ms
162.159.204.15:1010,100.00%,1000 ms
162.159.193.193:1010,100.00%,1000 ms
162.159.192.77:1010,100.00%,1000 ms
188.114.98.253:1010,100.00%,1000 ms
162.159.204.24:1010,100.00%,1000 ms
188.114.96.81:1074,100.00%,1000 ms
162.159.193.88:1074,100.00%,1000 ms
188.114.99.199:1010,100.00%,1000 ms
162.159.192.81:1074,100.00%,1000 ms
188.114.99.116:1010,100.00%,1000 ms
162.159.192.128:1074,100.00%,1000 ms
188.114.97.14:1074,100.00%,1000 ms
188.114.96.30:1074,100.00%,1000 ms
188.114.98.157:1010,100.00%,1000 ms
188.114.97.114:1074,100.00%,1000 ms
188.114.96.2:1010,100.00%,1000 ms
188.114.99.85:1010,100.00%,1000 ms
162.159.192.32:1074,100.00%,1000 ms
162.159.195.47:1010,100.00%,1000 ms
188.114.98.66:1074,100.00%,1000 ms
162.159.195.85:1010,100.00%,1000 ms
162.159.193.0:1074,100.00%,1000 ms
188.114.96.243:1074,100.00%,1000 ms
188.114.99.85:1074,100.00%,1000 ms
162.159.192.153:1074,100.00%,1000 ms
188.114.98.66:1010,100.00%,1000 ms
188.114.97.59:1074,100.00%,1000 ms
188.114.97.89:1010,100.00%,1000 ms
188.114.98.82:1010,100.00%,1000 ms
188.114.98.47:1010,100.00%,1000 ms
188.114.99.57:1010,100.00%,1000 ms
188.114.99.193:1010,100.00%,1000 ms
188.114.99.236:1074,100.00%,1000 ms
162.159.195.85:1074,100.00%,1000 ms
162.159.204.90:1074,100.00%,1000 ms
162.159.195.50:1074,100.00%,1000 ms
162.159.204.101:1010,100.00%,1000 ms
162.159.192.77:1074,100.00%,1000 ms
188.114.97.222:1010,100.00%,1000 ms
188.114.97.59:1010,100.00%,1000 ms
188.114.99.25:1010,100.00%,1000 ms
162.159.192.134:1010,100.00%,1000 ms
162.159.204.146:1010,100.00%,1000 ms
188.114.99.193:1074,100.00%,1000 ms
162.159.204.40:1010,100.00%,1000 ms
188.114.97.230:1010,100.00%,1000 ms
188.114.98.47:1074,100.00%,1000 ms
188.114.99.57:1074,100.00%,1000 ms
162.159.192.32:1010,100.00%,1000 ms
162.159.204.110:1074,100.00%,1000 ms
162.159.204.110:1010,100.00%,1000 ms
188.114.97.230:1074,100.00%,1000 ms
188.114.96.30:1010,100.00%,1000 ms
162.159.192.62:1010,100.00%,1000 ms
162.159.204.101:1074,100.00%,1000 ms
188.114.97.1:1010,100.00%,1000 ms
162.159.195.119:1010,100.00%,1000 ms
162.159.204.49:1074,100.00%,1000 ms
162.159.195.47:1074,100.00%,1000 ms
188.114.97.114:1010,100.00%,1000 ms
162.159.193.137:1074,100.00%,1000 ms
188.114.99.199:1074,100.00%,1000 ms
188.114.96.2:1074,100.00%,1000 ms
162.159.193.0:1010,100.00%,1000 ms
162.159.192.128:1010,100.00%,1000 ms
162.159.193.137:1010,100.00%,1000 ms
162.159.195.73:1074,100.00%,1000 ms
188.114.97.246:1074,100.00%,1000 ms
162.159.204.126:1010,100.00%,1000 ms
162.159.195.34:1010,100.00%,1000 ms
188.114.96.19:1010,100.00%,1000 ms
162.159.192.62:1074,100.00%,1000 ms
